Adv Name,Industry,Campaign Name,Total Impressions,Total Clicks,Total Revenue,Month
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",1183189,3398,12778,Sep'22
OLX Auto,"Commute, Travel & Hospitality","OF-16736_OLXAuto_HomeATF,BTF,CB,PT",468095,564,26511,Sep'22
Prime Video,OTT & Entertainment,"OF-16487_PrimeVideo_PT,CB,CBC_CPC8",740618,1893,11250,Sep'22
Reliance Digital,Offline Retail,OF-16834_RelianceDigital_HomeATF-Rewards,868035,1948,39611,Sep'22
Bajaj,BFSI,"OF-16497_BajajFinservInstaEMIcard_Reward,MMBTF_CPC4",280790,2555,6453,Sep'22
PlayerZpot,Gaming,OF-16679_Playerzpot_HomeATF_Reward,4017320,5415,28780,Sep'22
Isobar- IndusInd,BFSI,"OF-16509_IndusIndCC_CB,CBC_CPC2",10138267,7616,11582,Sep'22
PayTM First Games,Gaming,OF-16883_PaytmFirstGames_HBTF/Reward/MMBTF/CB_CPC8,12900594,1860,11465,Sep'22
Ludo_Gold,Gaming,"OF-16580_LudoGold_HomeATF,Reward,MMBTF,CB,CBC_CPC6",14666414,38851,229715,Sep'22
AU Bank - SA,BFSI,OF-16618_AUBank_HomeBTF/Rewards/Wealth,1636816,5369,28985,Sep'22
Ludo_Gold,Gaming,"OF-16580_LudoGold_HomeATF,Reward,MMBTF,CB,CBC_CPC6",8689584,36947,218457,Sep'22
Kotak 811,BFSI,OF-16513_Kotak811_HomeMastHead,209544956,991729,1920632,Sep'22
FK Healthcare,e-Commerce,OF-16809_FK_Healthcare_HomeATF_Rewards,3102490,3274,74453,Sep'22
OLXAUTO,"Commute, Travel & Hospitality","OF-16736_OLXAuto_HomeATF,BTF,CB,PT",368714,696,20883,Sep'22
FK Healthcare,e-Commerce,OF-16809_FK_Healthcare_HomeATF_Rewards,3009023,3757,72210,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",352951,2508,9431,Sep'22
Ludo_Gold,Gaming,"OF-16580_LudoGold_HomeATF,Reward,MMBTF,CB,CBC_CPC6",176348649,33481,197964,Sep'22
Kotak 811,BFSI,OF-16513_Kotak811_HomeMastHead,73643263,221355,428687,Sep'22
Prime Video,OTT & Entertainment,"OF-16487_PrimeVideo_PT,CB,CBC_CPC8",1072397,1258,7476,Sep'22
PayTM First Games,Gaming,OF-16883_PaytmFirstGames_HBTF/Reward/MMBTF/CB_CPC8,519286,1332,8211,Sep'22
